# Generated by SimCore Ground Collision Exporter.
# Explicit editor-only OBB markers; North=0 and heading is clockwise-positive.
# coordinate_mapping=east:UE_Y/100,north:UE_X/100,up:UE_Z/100
collider_id,semantic,shape,center_e_m,center_n_m,center_u_m,heading_rad,half_length_m,half_width_m,half_height_m,friction,restitution
Building_00,wall,obb,-70.000000,10.000000,5.000000,6.143558967,8.500000,9.500000,5.000000,0.800000,0.000000
Building_01,wall,obb,-35.000000,11.000000,8.000000,0.087266463,8.500000,9.500000,8.000000,0.800000,0.000000
Building_02,wall,obb,36.000000,11.000000,6.500000,6.161012260,8.500000,9.500000,6.500000,0.800000,0.000000
Building_03,wall,obb,72.000000,75.000000,9.500000,0.209439510,8.500000,9.500000,9.500000,0.800000,0.000000
Building_04,wall,obb,-67.000000,88.000000,7.500000,0.157079633,8.500000,9.500000,7.500000,0.800000,0.000000
Building_05,wall,obb,65.000000,90.000000,5.500000,6.091199089,8.500000,9.500000,5.500000,0.800000,0.000000
Building_06,wall,obb,-34.000000,154.000000,10.000000,0.069813170,8.500000,9.500000,10.000000,0.800000,0.000000
CentralMiddle_Curb_L,curb,obb,-5.150000,79.500000,0.120000,0.000000000,26.560000,0.150000,0.120000,0.800000,0.000000
CentralMiddle_Curb_R,curb,obb,5.150000,79.500000,0.120000,0.000000000,26.560000,0.150000,0.120000,0.800000,0.000000
CentralNorth_Curb_L,curb,obb,-5.150000,151.000000,0.120000,0.000000000,17.060000,0.150000,0.120000,0.800000,0.000000
CentralNorth_Curb_R,curb,obb,5.150000,151.000000,0.120000,0.000000000,17.060000,0.150000,0.120000,0.800000,0.000000
CentralSouth_Curb_L,curb,obb,-5.150000,8.500000,0.120000,0.000000000,18.560000,0.150000,0.120000,0.800000,0.000000
CentralSouth_Curb_R,curb,obb,5.150000,8.500000,0.120000,0.000000000,18.560000,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_03_Curb_L,curb,obb,101.421832,62.264533,0.120000,0.087236677,3.211745,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_03_Curb_R,curb,obb,115.667454,61.018630,0.120000,0.087236677,3.211745,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_04_Curb_L,curb,obb,101.817710,68.236473,0.120000,0.045040759,3.196381,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_04_Curb_R,curb,obb,116.103208,67.592608,0.120000,0.045040759,3.196381,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_05_Curb_L,curb,obb,101.960635,74.174162,0.120000,0.002874735,3.165880,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_05_Curb_R,curb,obb,116.260575,74.133054,0.120000,0.002874735,3.165880,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_06_Curb_L,curb,obb,101.852976,80.031568,0.120000,6.243220899,3.120206,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_06_Curb_R,curb,obb,116.141558,80.602907,0.120000,6.243220899,3.120206,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_07_Curb_L,curb,obb,101.497983,85.762310,0.120000,6.198949338,3.059520,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_07_Curb_R,curb,obb,115.747279,86.965460,0.120000,6.198949338,3.059520,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_08_Curb_L,curb,obb,100.899955,91.319497,0.120000,6.152392053,2.984211,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_08_Curb_R,curb,obb,115.077815,93.184512,0.120000,6.152392053,2.984211,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_09_Curb_L,curb,obb,100.064539,96.655561,0.120000,6.102555700,2.894934,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_09_Curb_R,curb,obb,114.131889,99.224541,0.120000,6.102555700,2.894934,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_10_Curb_L,curb,obb,98.999221,101.722101,0.120000,6.048249812,2.792685,0.150000,0.120000,0.800000,0.000000
CollectorEastCurve_10_Curb_R,curb,obb,112.906391,105.050858,0.120000,6.048249812,2.792685,0.150000,0.120000,0.800000,0.000000
CollectorWestCurve_03_Curb_L,curb,obb,-115.330963,62.621663,0.120000,6.271832224,3.653692,0.150000,0.120000,0.800000,0.000000
CollectorWestCurve_03_Curb_R,curb,obb,-101.031884,62.784008,0.120000,6.271832224,3.653692,0.150000,0.120000,0.800000,0.000000
CollectorWestCurve_04_Curb_L,curb,obb,-115.151562,70.391618,0.120000,0.056623061,3.756607,0.150000,0.120000,0.800000,0.000000
CollectorWestCurve_04_Curb_R,curb,obb,-100.874480,69.582341,0.120000,0.056623061,3.756607,0.150000,0.120000,0.800000,0.000000
CollectorWestCurve_05_Curb_L,curb,obb,-114.434442,78.286212,0.120000,0.124077634,3.812517,0.150000,0.120000,0.800000,0.000000
CollectorWestCurve_05_Curb_R,curb,obb,-100.244377,76.516451,0.120000,0.124077634,3.812517,0.150000,0.120000,0.800000,0.000000
CollectorWestCurve_06_Curb_L,curb,obb,-113.166272,86.194688,0.120000,0.193836534,3.822889,0.150000,0.120000,0.800000,0.000000
CollectorWestCurve_06_Curb_R,curb,obb,-99.134076,83.440150,0.120000,0.193836534,3.822889,0.150000,0.120000,0.800000,0.000000
CollectorWestCurve_07_Curb_L,curb,obb,-111.328330,94.004947,0.120000,0.268700857,3.790807,0.150000,0.120000,0.800000,0.000000
CollectorWestCurve_07_Curb_R,curb,obb,-97.541462,90.208595,0.120000,0.268700857,3.790807,0.150000,0.120000,0.800000,0.000000
CollectorWestCurve_08_Curb_L,curb,obb,-108.895510,101.604012,0.120000,0.351694597,3.721319,0.150000,0.120000,0.800000,0.000000
CollectorWestCurve_08_Curb_R,curb,obb,-95.470809,96.677817,0.120000,0.351694597,3.721319,0.150000,0.120000,0.800000,0.000000
NorthEast_Curb_L,curb,obb,50.500000,125.150000,0.120000,1.570796327,37.560000,0.150000,0.120000,0.800000,0.000000
NorthEast_Curb_R,curb,obb,50.500000,114.850000,0.120000,1.570796327,37.560000,0.150000,0.120000,0.800000,0.000000
NorthWest_Curb_L,curb,obb,-45.500000,125.150000,0.120000,1.570796327,32.560000,0.150000,0.120000,0.800000,0.000000
NorthWest_Curb_R,curb,obb,-45.500000,114.850000,0.120000,1.570796327,32.560000,0.150000,0.120000,0.800000,0.000000
SouthEast_Curb_L,curb,obb,53.000000,45.150000,0.120000,1.570796327,40.060000,0.150000,0.120000,0.800000,0.000000
SouthEast_Curb_R,curb,obb,53.000000,34.850000,0.120000,1.570796327,40.060000,0.150000,0.120000,0.800000,0.000000
SouthWest_Curb_L,curb,obb,-53.000000,45.150000,0.120000,1.570796327,40.060000,0.150000,0.120000,0.800000,0.000000
SouthWest_Curb_R,curb,obb,-53.000000,34.850000,0.120000,1.570796327,40.060000,0.150000,0.120000,0.800000,0.000000
