# Authoring QA checkpoints only; not a LaneGraph, navigation or traffic implementation.
east_m,north_m,up_m,heading_deg
0.000000,0.000000,0.000000,90.000000
1.767442,0.000000,0.000000,90.000000
3.534884,0.000000,0.000000,90.000000
5.302326,0.000000,0.000000,90.000000
7.069767,0.000000,0.000000,90.000000
8.837209,0.000000,0.000000,90.000000
10.604651,0.000000,0.000000,90.000000
12.372093,0.000000,0.000000,90.000000
14.139535,0.000000,0.000000,90.000000
15.906977,0.000000,0.000000,90.000000
17.674419,0.000000,0.000000,90.000000
19.441860,0.000000,0.000000,90.000000
21.209302,0.000000,0.000000,90.000000
22.976744,0.000000,0.000000,90.000000
24.744186,0.000000,0.000000,90.000000
26.511628,0.000000,0.000000,90.000000
28.279070,0.000000,0.000000,90.000000
30.046512,0.000000,0.000000,90.000000
31.813953,0.000000,0.000000,90.000000
33.581395,0.000000,0.000000,90.000000
35.348837,0.000000,0.000000,90.000000
37.116279,0.000000,0.000000,90.000000
38.883721,0.000000,0.000000,90.000000
40.651163,0.000000,0.000000,90.000000
42.418605,0.000000,0.000000,90.000000
44.186047,0.000000,0.000000,90.000000
45.953488,0.000000,0.000000,90.000000
47.720930,0.000000,0.000000,90.000000
49.488372,0.000000,0.000000,90.000000
51.255814,0.000000,0.000000,90.000000
53.023256,0.000000,0.000000,90.000000
54.790698,0.000000,0.000000,90.000000
56.558140,0.000000,0.000000,90.000000
58.325581,0.000000,0.000000,90.000000
60.093023,0.000000,0.000000,90.000000
61.860465,0.000000,0.000000,90.000000
63.627907,0.000000,0.000000,90.000000
65.395349,0.000000,0.000000,90.000000
67.162791,0.000000,0.000000,90.000000
68.930233,0.000000,0.000000,90.000000
70.697674,0.000000,0.000000,90.000000
72.465116,0.000000,0.000000,90.000000
74.232558,0.000000,0.000000,90.000000
76.000000,0.000000,0.000000,90.000000
77.568803,0.068495,0.000000,85.000000
79.125667,0.273460,0.000000,80.000000
80.658743,0.613335,0.000000,75.000000
82.156363,1.085533,0.000000,70.000000
83.607129,1.686460,0.000000,65.000000
85.000000,2.411543,0.000000,60.000000
86.324376,3.255263,0.000000,55.000000
87.570177,4.211200,0.000000,50.000000
88.727922,5.272078,0.000000,45.000000
89.788800,6.429823,0.000000,40.000000
90.744737,7.675624,0.000000,35.000000
91.588457,9.000000,0.000000,30.000000
92.313540,10.392871,0.000000,25.000000
92.914467,11.843637,0.000000,20.000000
93.386665,13.341257,0.000000,15.000000
93.726540,14.874333,0.000000,10.000000
93.931505,16.431197,0.000000,5.000000
94.000000,18.000000,0.000000,0.000000
94.000000,19.800000,0.000000,0.000000
94.000000,21.600000,0.000000,0.000000
94.000000,23.400000,0.000000,0.000000
94.000000,25.200000,0.000000,0.000000
94.000000,27.000000,0.000000,0.000000
94.000000,28.800000,0.000000,0.000000
94.000000,30.600000,0.000000,0.000000
94.000000,32.400000,0.000000,0.000000
94.000000,34.200000,0.000000,0.000000
94.000000,36.000000,0.000000,0.000000
94.000000,37.800000,0.000000,0.000000
94.000000,39.600000,0.000000,0.000000
94.000000,41.400000,0.097898,0.000000
94.000000,43.200000,0.223766,0.000000
94.000000,45.000000,0.349634,0.000000
94.000000,46.800000,0.475502,0.000000
94.000000,48.600000,0.601371,0.000000
94.000000,50.400000,0.727239,0.000000
94.000000,52.200000,0.853107,0.000000
94.000000,54.000000,0.978975,0.000000
94.000000,55.800000,1.104844,0.000000
94.000000,57.600000,1.230712,0.000000
94.000000,59.400000,1.356580,0.000000
94.000000,61.200000,1.398536,0.000000
94.000000,63.000000,1.398536,0.000000
94.000000,64.800000,1.398536,0.000000
94.000000,66.600000,1.398536,0.000000
94.000000,68.400000,1.398536,0.000000
94.000000,70.200000,1.398536,0.000000
94.000000,72.000000,1.398536,0.000000
94.000000,73.800000,1.398536,0.000000
94.000000,75.600000,1.398536,0.000000
94.000000,77.400000,1.398536,0.000000
94.000000,79.200000,1.398536,0.000000
94.000000,81.000000,1.328609,0.000000
94.000000,82.800000,1.202741,0.000000
94.000000,84.600000,1.076873,0.000000
94.000000,86.400000,0.951005,0.000000
94.000000,88.200000,0.825136,0.000000
94.000000,90.000000,0.699268,0.000000
94.000000,91.800000,0.573400,0.000000
94.000000,93.600000,0.447532,0.000000
94.000000,95.400000,0.321663,0.000000
94.000000,97.200000,0.195795,0.000000
94.000000,99.000000,0.069927,0.000000
94.000000,100.800000,0.000000,0.000000
94.000000,102.600000,0.000000,0.000000
94.000000,104.400000,0.000000,0.000000
94.000000,106.200000,0.000000,0.000000
94.000000,108.000000,0.000000,0.000000
94.000000,109.800000,0.000000,0.000000
94.000000,111.600000,0.000000,0.000000
94.000000,113.400000,0.000000,0.000000
94.000000,115.200000,0.000000,0.000000
94.000000,117.000000,0.000000,0.000000
94.000000,118.800000,0.000000,0.000000
94.000000,120.600000,0.000000,0.000000
94.000000,122.400000,0.000000,0.000000
94.000000,124.200000,0.000000,0.000000
94.000000,126.000000,0.000000,0.000000
93.931505,127.568803,0.000000,355.000000
93.726540,129.125667,0.000000,350.000000
93.386665,130.658743,0.000000,345.000000
92.914467,132.156363,0.000000,340.000000
92.313540,133.607129,0.000000,335.000000
91.588457,135.000000,0.000000,330.000000
90.744737,136.324376,0.000000,325.000000
89.788800,137.570177,0.000000,320.000000
88.727922,138.727922,0.000000,315.000000
87.570177,139.788800,0.000000,310.000000
86.324376,140.744737,0.000000,305.000000
85.000000,141.588457,0.000000,300.000000
83.607129,142.313540,0.000000,295.000000
82.156363,142.914467,0.000000,290.000000
80.658743,143.386665,0.000000,285.000000
79.125667,143.726540,0.000000,280.000000
77.568803,143.931505,0.000000,275.000000
76.000000,144.000000,0.000000,270.000000
74.211765,144.000000,0.000000,270.000000
72.423529,144.000000,0.000000,270.000000
70.635294,144.000000,0.000000,270.000000
68.847059,144.000000,0.000000,270.000000
67.058824,144.000000,0.000000,270.000000
65.270588,144.000000,0.000000,270.000000
63.482353,144.000000,0.000000,270.000000
61.694118,144.000000,0.000000,270.000000
59.905882,144.000000,0.000000,270.000000
58.117647,144.000000,0.000000,270.000000
56.329412,144.000000,0.000000,270.000000
54.541176,144.000000,0.000000,270.000000
52.752941,144.000000,0.000000,270.000000
50.964706,144.000000,0.000000,270.000000
49.176471,144.000000,0.000000,270.000000
47.388235,144.000000,0.000000,270.000000
45.600000,144.000000,0.000000,270.000000
43.811765,144.000000,0.000000,270.000000
42.023529,144.000000,0.000000,270.000000
40.235294,144.000000,0.000000,270.000000
38.447059,144.000000,0.000000,270.000000
36.658824,144.000000,0.000000,270.000000
34.870588,144.000000,0.000000,270.000000
33.082353,144.000000,0.000000,270.000000
31.294118,144.000000,0.000000,270.000000
29.505882,144.000000,0.000000,270.000000
27.717647,144.000000,0.000000,270.000000
25.929412,144.000000,0.000000,270.000000
24.141176,144.000000,0.000000,270.000000
22.352941,144.000000,0.000000,270.000000
20.564706,144.000000,0.000000,270.000000
18.776471,144.000000,0.000000,270.000000
16.988235,144.000000,0.000000,270.000000
15.200000,144.000000,0.000000,270.000000
13.411765,144.000000,0.000000,270.000000
11.623529,144.000000,0.000000,270.000000
9.835294,144.000000,0.000000,270.000000
8.047059,144.000000,0.000000,270.000000
6.258824,144.000000,0.000000,270.000000
4.470588,144.000000,0.000000,270.000000
2.682353,144.000000,0.000000,270.000000
0.894118,144.000000,0.000000,270.000000
-0.894118,144.000000,0.000000,270.000000
-2.682353,144.000000,0.000000,270.000000
-4.470588,144.000000,0.000000,270.000000
-6.258824,144.000000,0.000000,270.000000
-8.047059,144.000000,0.000000,270.000000
-9.835294,144.000000,0.000000,270.000000
-11.623529,144.000000,0.000000,270.000000
-13.411765,144.000000,0.000000,270.000000
-15.200000,144.000000,0.000000,270.000000
-16.988235,144.000000,0.000000,270.000000
-18.776471,144.000000,0.000000,270.000000
-20.564706,144.000000,0.000000,270.000000
-22.352941,144.000000,0.000000,270.000000
-24.141176,144.000000,0.000000,270.000000
-25.929412,144.000000,0.000000,270.000000
-27.717647,144.000000,0.000000,270.000000
-29.505882,144.000000,0.000000,270.000000
-31.294118,144.000000,0.000000,270.000000
-33.082353,144.000000,0.000000,270.000000
-34.870588,144.000000,0.000000,270.000000
-36.658824,144.000000,0.000000,270.000000
-38.447059,144.000000,0.000000,270.000000
-40.235294,144.000000,0.000000,270.000000
-42.023529,144.000000,0.000000,270.000000
-43.811765,144.000000,0.000000,270.000000
-45.600000,144.000000,0.000000,270.000000
-47.388235,144.000000,0.000000,270.000000
-49.176471,144.000000,0.000000,270.000000
-50.964706,144.000000,0.000000,270.000000
-52.752941,144.000000,0.000000,270.000000
-54.541176,144.000000,0.000000,270.000000
-56.329412,144.000000,0.000000,270.000000
-58.117647,144.000000,0.000000,270.000000
-59.905882,144.000000,0.000000,270.000000
-61.694118,144.000000,0.000000,270.000000
-63.482353,144.000000,0.000000,270.000000
-65.270588,144.000000,0.000000,270.000000
-67.058824,144.000000,0.000000,270.000000
-68.847059,144.000000,0.000000,270.000000
-70.635294,144.000000,0.000000,270.000000
-72.423529,144.000000,0.000000,270.000000
-74.211765,144.000000,0.000000,270.000000
-76.000000,144.000000,0.000000,270.000000
-77.568803,143.931505,0.000000,265.000000
-79.125667,143.726540,0.000000,260.000000
-80.658743,143.386665,0.000000,255.000000
-82.156363,142.914467,0.000000,250.000000
-83.607129,142.313540,0.000000,245.000000
-85.000000,141.588457,0.000000,240.000000
-86.324376,140.744737,0.000000,235.000000
-87.570177,139.788800,0.000000,230.000000
-88.727922,138.727922,0.000000,225.000000
-89.788800,137.570177,0.000000,220.000000
-90.744737,136.324376,0.000000,215.000000
-91.588457,135.000000,0.000000,210.000000
-92.313540,133.607129,0.000000,205.000000
-92.914467,132.156363,0.000000,200.000000
-93.386665,130.658743,0.000000,195.000000
-93.726540,129.125667,0.000000,190.000000
-93.931505,127.568803,0.000000,185.000000
-94.000000,126.000000,0.000000,180.000000
-94.000000,124.200000,0.000000,180.000000
-94.000000,122.400000,0.000000,180.000000
-94.000000,120.600000,0.000000,180.000000
-94.000000,118.800000,0.000000,180.000000
-94.000000,117.000000,0.000000,180.000000
-94.000000,115.200000,0.000000,180.000000
-94.000000,113.400000,0.000000,180.000000
-94.000000,111.600000,0.000000,180.000000
-94.000000,109.800000,0.000000,180.000000
-94.000000,108.000000,0.000000,180.000000
-94.000000,106.200000,0.000000,180.000000
-94.000000,104.400000,0.000000,180.000000
-94.000000,102.600000,0.000000,180.000000
-94.000000,100.800000,0.000000,180.000000
-94.000000,99.000000,0.000000,180.000000
-94.000000,97.200000,0.000000,180.000000
-94.000000,95.400000,0.000000,180.000000
-94.000000,93.600000,0.000000,180.000000
-94.000000,91.800000,0.000000,180.000000
-94.000000,90.000000,0.000000,180.000000
-94.000000,88.200000,0.000000,180.000000
-94.000000,86.400000,0.000000,180.000000
-94.000000,84.600000,0.000000,180.000000
-94.000000,82.800000,0.000000,180.000000
-94.000000,81.000000,0.000000,180.000000
-94.000000,79.200000,0.000000,180.000000
-94.000000,77.400000,0.000000,180.000000
-94.000000,75.600000,0.000000,180.000000
-94.000000,73.800000,0.000000,180.000000
-94.000000,72.000000,0.000000,180.000000
-94.000000,70.200000,0.000000,180.000000
-94.000000,68.400000,0.000000,180.000000
-94.000000,66.600000,0.000000,180.000000
-94.000000,64.800000,0.000000,180.000000
-94.000000,63.000000,0.000000,180.000000
-94.000000,61.200000,0.000000,180.000000
-94.000000,59.400000,0.000000,180.000000
-94.000000,57.600000,0.000000,180.000000
-94.000000,55.800000,0.000000,180.000000
-94.000000,54.000000,0.000000,180.000000
-94.000000,52.200000,0.000000,180.000000
-94.000000,50.400000,0.000000,180.000000
