# Generated by SimCore Ground Collision Exporter.
# Explicit editor-only OBB markers; North=0 and heading is clockwise-positive.
# coordinate_mapping=east:UE_Y/100,north:UE_X/100,up:UE_Z/100
collider_id,semantic,shape,center_e_m,center_n_m,center_u_m,heading_rad,half_length_m,half_width_m,half_height_m,friction,restitution
Barrier_BayEnd,barrier,obb,0.000000,173.000000,0.500000,1.570796327,5.000000,0.175000,0.500000,0.800000,0.000000
Boundary_EastWest_-1,barrier,obb,-119.000000,80.000000,0.600000,0.000000000,99.000000,0.250000,0.600000,0.800000,0.000000
Boundary_EastWest_1,barrier,obb,119.000000,80.000000,0.600000,0.000000000,99.000000,0.250000,0.600000,0.800000,0.000000
Boundary_NorthSouth_-1,barrier,obb,0.000000,-19.000000,0.600000,1.570796327,119.000000,0.250000,0.600000,0.800000,0.000000
Boundary_NorthSouth_1,barrier,obb,0.000000,179.000000,0.600000,1.570796327,119.000000,0.250000,0.600000,0.800000,0.000000
Building_00,wall,obb,-60.000000,39.000000,3.500000,0.000000000,12.000000,11.000000,3.500000,0.800000,0.000000
Building_01,wall,obb,-20.000000,39.000000,8.000000,0.000000000,12.000000,11.000000,8.000000,0.800000,0.000000
Building_02,wall,obb,20.000000,39.000000,6.500000,0.000000000,12.000000,11.000000,6.500000,0.800000,0.000000
Building_03,wall,obb,60.000000,39.000000,5.000000,0.000000000,12.000000,11.000000,5.000000,0.800000,0.000000
Building_04,wall,obb,-60.000000,104.000000,3.500000,0.000000000,12.000000,11.000000,3.500000,0.800000,0.000000
Building_05,wall,obb,-20.000000,104.000000,8.000000,0.000000000,12.000000,11.000000,8.000000,0.800000,0.000000
Building_06,wall,obb,20.000000,104.000000,6.500000,0.000000000,12.000000,11.000000,6.500000,0.800000,0.000000
Building_07,wall,obb,60.000000,104.000000,5.000000,0.000000000,12.000000,11.000000,5.000000,0.800000,0.000000
Corner_NE_InnerCurb_00,curb,obb,87.799311,126.773368,0.120000,6.217735460,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NE_InnerCurb_01,curb,obb,87.597421,128.306871,0.120000,6.086835766,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NE_InnerCurb_02,curb,obb,87.197097,129.800902,0.120000,5.955936072,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NE_InnerCurb_03,curb,obb,86.605187,131.229899,0.120000,5.825036379,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NE_InnerCurb_04,curb,obb,85.831819,132.569411,0.120000,5.694136685,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NE_InnerCurb_05,curb,obb,84.890226,133.796519,0.120000,5.563236991,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NE_InnerCurb_06,curb,obb,83.796519,134.890226,0.120000,5.432337297,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NE_InnerCurb_07,curb,obb,82.569411,135.831819,0.120000,5.301437603,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NE_InnerCurb_08,curb,obb,81.229899,136.605187,0.120000,5.170537909,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NE_InnerCurb_09,curb,obb,79.800902,137.197097,0.120000,5.039638215,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NE_InnerCurb_10,curb,obb,78.306871,137.597421,0.120000,4.908738521,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NE_InnerCurb_11,curb,obb,76.773368,137.799311,0.120000,4.777838827,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NE_OuterCurb_00,curb,obb,96.063807,127.315051,0.120000,6.217735460,1.357873,0.150000,0.120000,0.800000,0.000000
Corner_NE_OuterCurb_01,curb,obb,95.720510,129.922653,0.120000,6.086835766,1.357873,0.150000,0.120000,0.800000,0.000000
Corner_NE_OuterCurb_02,curb,obb,95.039789,132.463137,0.120000,5.955936072,1.357873,0.150000,0.120000,0.800000,0.000000
Corner_NE_OuterCurb_03,curb,obb,94.033292,134.893036,0.120000,5.825036379,1.357873,0.150000,0.120000,0.800000,0.000000
Corner_NE_OuterCurb_04,curb,obb,92.718241,137.170771,0.120000,5.694136685,1.357873,0.150000,0.120000,0.800000,0.000000
Corner_NE_OuterCurb_05,curb,obb,91.117136,139.257372,0.120000,5.563236991,1.357873,0.150000,0.120000,0.800000,0.000000
Corner_NE_OuterCurb_06,curb,obb,89.257372,141.117136,0.120000,5.432337297,1.357873,0.150000,0.120000,0.800000,0.000000
Corner_NE_OuterCurb_07,curb,obb,87.170771,142.718241,0.120000,5.301437603,1.357873,0.150000,0.120000,0.800000,0.000000
Corner_NE_OuterCurb_08,curb,obb,84.893036,144.033292,0.120000,5.170537909,1.357873,0.150000,0.120000,0.800000,0.000000
Corner_NE_OuterCurb_09,curb,obb,82.463137,145.039789,0.120000,5.039638215,1.357873,0.150000,0.120000,0.800000,0.000000
Corner_NE_OuterCurb_10,curb,obb,79.922653,145.720510,0.120000,4.908738521,1.357873,0.150000,0.120000,0.800000,0.000000
Corner_NE_OuterCurb_11,curb,obb,77.315051,146.063807,0.120000,4.777838827,1.357873,0.150000,0.120000,0.800000,0.000000
Corner_NW_InnerCurb_00,curb,obb,-76.773368,137.799311,0.120000,4.646939133,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NW_InnerCurb_01,curb,obb,-78.306871,137.597421,0.120000,4.516039440,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NW_InnerCurb_02,curb,obb,-79.800902,137.197097,0.120000,4.385139746,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NW_InnerCurb_03,curb,obb,-81.229899,136.605187,0.120000,4.254240052,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NW_InnerCurb_04,curb,obb,-82.569411,135.831819,0.120000,4.123340358,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NW_InnerCurb_05,curb,obb,-83.796519,134.890226,0.120000,3.992440664,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NW_InnerCurb_06,curb,obb,-84.890226,133.796519,0.120000,3.861540970,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NW_InnerCurb_07,curb,obb,-85.831819,132.569411,0.120000,3.730641276,0.815027,0.150000,0.120000,0.800000,0.000000
Corner_NW_InnerCurb_08,curb,obb,-86.605187,131.229899,0.120000,3.599741582,0.815027,0.150000,0.120000,0.800000,0.000000
